0	1	2	0
1	3	4	0
2	5	6	0
3	7	8	0
4	9	10	0
5	11	12	0
6	13	14	0
7	123	15	0
8	16	18	0
9	19	20	0
10	21	22	0
11	23	25	0
12	26	27	0
13	28	29	-1
14	30	188	0
15	124	32	0
16	17	0	0
17	125	189	0
18	126	190	0
19	127	191	0
20	128	33	-1
21	34	35	0
22	36	37	0
23	24	0	0
24	38	40	0
25	129	41	0
26	130	42	0
27	43	44	0
28	131	45	0
29	132	192	0
30	31	0	0
31	133	193	0
32	134	194	0
33	135	46	0
34	47	48	0
35	49	50	-1
36	51	52	0
37	53	55	-1
38	39	0	0
39	136	195	0
40	137	56	0
41	57	196	0
42	138	197	0
43	58	198	0
44	59	60	0
45	62	63	0
46	139	199	0
47	140	64	0
48	141	65	0
49	66	67	0
50	142	200	0
51	143	68	0
52	70	71	0
53	54	0	0
54	144	201	0
55	72	73	-1
56	74	202	0
57	145	203	0
58	75	76	0
59	77	78	0
60	61	0	0
61	146	204	0
62	147	205	0
63	148	206	0
64	149	207	0
65	150	208	0
66	151	209	0
67	152	210	0
68	69	0	0
69	153	79	0
70	80	81	0
71	83	84	-1
72	154	85	0
73	155	86	0
74	156	211	0
75	157	212	0
76	158	213	0
77	87	88	0
78	89	214	90
79	159	215	0
80	160	216	0
81	82	0	0
82	161	217	0
83	91	92	0
84	93	218	0
85	162	219	0
86	94	95	0
87	96	98	0
88	99	100	0
89	101	102	0
90	103	104	0
91	163	220	0
92	164	105	0
93	165	106	0
94	166	221	0
95	167	222	0
96	97	0	0
97	168	223	0
98	169	224	0
99	170	225	0
100	171	107	0
101	172	226	-1
102	173	108	0
103	174	110	-1
104	175	111	0
105	176	112	0
106	113	114	0
107	115	116	0
108	109	0	0
109	177	118	0
110	178	119	0
111	179	120	-1
112	121	227	0
113	180	228	0
114	181	229	0
115	182	230	0
116	117	0	0
117	183	231	0
118	184	232	0
119	185	233	0
120	122	234	0
121	186	235	0
122	187	236	0
