4.02	1.408	1.408
5.57	1.397	1.397
5.53	1.32	1.32
2.01	0.561	0.561
0.67	1.122	1.122
0.65	1.166	1.166
3.02	0.759	0.759
3.17	0.275	0.275
1.44	0.275	0.275
4.97	0.418	0.418
0.88	1.001	1.001
3.61	0.374	0.374
1.79	1.034	1.034
1.92	0.374	0.374
1.06	0.462	0.462
0.92	0.209	0.209
0.513	0.066	0.066
0.513	0.066	0.066
0.25	0.264	0.264
2.08	0.15	0.15
0.69	0.22	0.22
1.64	0.77	0.77
0.15	0.957	0.957
0.3	0.275	0.275
0.3	0.275	0.275
0.64	0.286	0.286
4.2	0.264	0.264
0.25	0.979	0.979
0.29	0.156	0.156
1.54	0.132	0.132
0.125	0.352	0.352
0.125	0.352	0.352
0.39	0.198	0.198
0.56	0.108	0.108
0.24	0.561	0.561
1.65	0.33	0.33
0.3	0.935	0.935
2.45	0.715	0.715
0.485	0.22	0.22
0.485	0.22	0.22
1.19	0.138	0.138
1.42	0.17	0.17
0.4	0.054	0.054
0.21	0.968	0.968
1.3	0.858	0.858
1.32	0.126	0.126
0.81	0.084	0.084
1.69	0.275	0.275
2.93	0.209	0.209
1.51	0.168	0.168
2.22	0.156	0.156
1.11	0.759	0.759
2.32	0.627	0.627
1.443	0.209	0.209
1.443	0.209	0.209
3.38	0.319	0.319
1.22	0.132	0.132
1.8	0.072	0.072
3.41	0.297	0.297
0.13	0.759	0.759
0.588	0.407	0.407
0.588	0.407	0.407
0.59	0.108	0.108
0.16	0.12	0.12
1.92	0.209	0.209
2.04	0.15	0.15
0.42	0.126	0.126
0.32	0.126	0.126
0.215	0.33	0.33
0.215	0.33	0.33
0.38	0.385	0.385
0.61	0.374	0.374
0.96	0.162	0.162
0.25	0.186	0.186
1.65	0.072	0.072
2.53	0.15	0.15
2.07	0.16	0.16
0.61	0.682	0.682
1.18	0.638	0.638
1.7	0.102	0.102
2.8	0.072	0.072
0.338	0.242	0.242
0.338	0.242	0.242
2.17	0.144	0.144
3.95	0.132	0.132
0.91	0.078	0.078
2.58	0.114	0.114
0.81	0.308	0.308
1.19	0.33	0.33
2.1	0.462	0.462
1.32	0.517	0.517
0.34	0.15	0.15
0.22	0.15	0.15
0.28	0.15	0.15
0.17	0.114	0.114
3.84	0.096	0.096
0.353	0.17	0.17
0.353	0.17	0.17
3.17	0.17	0.17
2.22	0.15	0.15
0.49	0.231	0.231
1.16	0.22	0.22
1.59	0.17	0.17
2.28	0.297	0.297
1.27	0.341	0.341
1.28	0.132	0.132
0.62	0.132	0.132
0.71	0.231	0.231
0.205	0.231	0.231
0.205	0.231	0.231
1.84	0.144	0.144
3.42	0.275	0.275
1.52	0.096	0.096
0.36	0.108	0.108
0.31	0.102	0.102
2.23	0.066	0.066
0.138	0.22	0.22
0.138	0.22	0.22
2.15	0.078	0.078
1.83	0.114	0.114
1.16	0.108	0.108
0.9	0.096	0.096
0.69	0.06	0.06
1.21	0.13	0.13
1.11	0.054	0.054
0.93	0.048	0.048
4.7	0.13	0.13
0.73	0.042	0.042
0.84	0.084	0.084
1.8	0.16	0.16
0.75	0.048	0.048
3.36	0.066	0.066
1.13	0.054	0.054
3.72	0.09	0.09
2.55	0.042	0.042
1.22	0.078	0.078
2.37	0.06	0.06
4.45	0.078	0.078
0.84	0.066	0.066
1.01	0.048	0.048
1.43	0.209	0.209
2.18	0.054	0.054
4.4	0.072	0.072
3.8	0.17	0.17
3.54	0.048	0.048
1.37	0.042	0.042
3.23	0.084	0.084
0.51	0.078	0.078
1.54	0.054	0.054
1.45	0.066	0.066
1.61	0.06	0.06
2.17	0.096	0.096
2.02	0.06	0.06
2.84	0.096	0.096
1.29	0.072	0.072
6.27	0.084	0.084
0.76	0.042	0.042
1.1	0.054	0.054
1.09	0.048	0.048
1.01	0.066	0.066
0.65	0.048	0.048
1.55	0.06	0.06
2.38	0.048	0.048
2.53	0.084	0.084
4.41	0.096	0.096
4.13	0.084	0.084
0.99	0.084	0.084
0.59	0.09	0.09
1.29	0.054	0.054
1.44	0.06	0.06
1.07	0.14	0.14
2.25	0.06	0.06
3.2	0.054	0.054
1.21	0.072	0.072
2.46	0.036	0.036
3.19	0.14	0.14
4.33	0.084	0.084
2.26	0.054	0.054
2.97	0.096	0.096
1.41	0.12	0.12
0.95	0.072	0.072
2.51	0.084	0.084
0.68	0.06	0.06
1.93	0.09	0.09
1.57	0.048	0.048
1.2	0.084	0.084
0.67	0.066	0.066
0.98	0.042	0.042
2.23	0.198	0.198
1.4	0.03	0.03
2.55	0.06	0.06
1.64	0.06	0.06
2.3	0.066	0.066
3.56	0.09	0.09
2.65	0.06	0.06
2.88	0.072	0.072
3.68	0.06	0.06
0.88	0.048	0.048
