0	1	2	0
1	3	4	0
2	5	6	0
3	7	8	0
4	9	10	0
5	11	12	0
6	13	14	0
7	112	15	0
8	16	17	0
9	18	19	0
10	20	21	0
11	22	23	0
12	24	25	0
13	26	27	0
14	28	177	0
15	113	29	0
16	114	178	0
17	115	179	0
18	116	180	0
19	117	30	0
20	31	32	0
21	33	34	0
22	35	36	0
23	118	37	0
24	119	38	0
25	39	40	0
26	120	41	0
27	121	181	0
28	122	182	0
29	123	183	0
30	124	42	0
31	43	44	0
32	45	46	0
33	47	48	0
34	49	50	0
35	125	184	0
36	126	51	0
37	52	185	0
38	127	186	0
39	53	187	0
40	54	55	0
41	56	57	0
42	128	188	0
43	129	58	0
44	130	59	0
45	60	61	0
46	131	189	0
47	132	62	0
48	63	64	0
49	133	190	0
50	65	66	0
51	67	191	0
52	134	192	0
53	68	69	0
54	70	71	0
55	135	193	0
56	136	194	0
57	137	195	0
58	138	196	0
59	139	197	0
60	140	198	0
61	141	199	0
62	142	72	0
63	73	74	0
64	75	76	0
65	143	77	0
66	144	78	0
67	145	200	0
68	146	201	0
69	147	202	0
70	79	80	0
71	81	203	82
72	148	204	0
73	149	205	0
74	150	206	0
75	83	84	0
76	85	207	0
77	151	208	0
78	86	87	0
79	88	89	0
80	90	91	0
81	92	93	0
82	94	95	0
83	152	209	0
84	153	96	0
85	154	97	0
86	155	210	0
87	156	211	0
88	157	212	0
89	158	213	0
90	159	214	0
91	160	98	0
92	161	215	0
93	162	99	0
94	163	100	0
95	164	101	0
96	165	102	0
97	103	104	0
98	105	106	0
99	166	107	0
100	167	108	0
101	168	109	0
102	110	216	0
103	169	217	0
104	170	218	0
105	171	219	0
106	172	220	0
107	173	221	0
108	174	222	0
109	111	223	0
110	175	224	0
111	176	225	0
