4.02	1.28	1.28
5.57	1.27	1.27
5.53	1.2	1.2
2.01	0.51	0.51
0.67	1.02	1.02
0.65	1.06	1.06
3.02	0.69	0.69
3.17	0.25	0.25
1.44	0.25	0.25
4.97	0.38	0.38
0.88	0.91	0.91
3.61	0.34	0.34
1.79	0.94	0.94
1.92	0.34	0.34
1.06	0.42	0.42
0.92	0.19	0.19
2.05	0.11	0.11
0.13	0.24	0.24
2.08	0.15	0.15
0.69	0.2	0.2
1.64	0.7	0.7
0.15	0.87	0.87
1.2	0.25	0.25
0.64	0.26	0.26
4.2	0.24	0.24
0.13	0.89	0.89
0.29	0.26	0.26
1.54	0.22	0.22
0.28	0.32	0.32
0.39	0.18	0.18
0.56	0.18	0.18
0.24	0.51	0.51
1.65	0.3	0.3
0.3	0.85	0.85
2.45	0.65	0.65
1.94	0.2	0.2
1.19	0.23	0.23
1.42	0.17	0.17
0.4	0.09	0.09
0.21	0.88	0.88
1.3	0.78	0.78
1.32	0.21	0.21
0.81	0.14	0.14
1.69	0.25	0.25
2.93	0.19	0.19
1.51	0.28	0.28
2.22	0.26	0.26
1.11	0.69	0.69
2.32	0.57	0.57
5.77	0.19	0.19
3.38	0.29	0.29
1.22	0.22	0.22
1.8	0.12	0.12
3.41	0.27	0.27
0.13	0.69	0.69
2.35	0.37	0.37
0.59	0.18	0.18
0.16	0.2	0.2
1.92	0.19	0.19
2.04	0.15	0.15
0.42	0.21	0.21
0.32	0.21	0.21
0.86	0.3	0.3
0.38	0.35	0.35
0.61	0.34	0.34
0.96	0.27	0.27
0.13	0.31	0.31
1.65	0.12	0.12
2.53	0.15	0.15
2.07	0.16	0.16
0.61	0.62	0.62
1.18	0.58	0.58
1.7	0.17	0.17
2.8	0.12	0.12
1.35	0.22	0.22
2.17	0.24	0.24
3.95	0.22	0.22
0.91	0.13	0.13
2.58	0.19	0.19
0.81	0.28	0.28
1.19	0.3	0.3
2.1	0.42	0.42
1.32	0.47	0.47
0.34	0.25	0.25
0.22	0.25	0.25
0.28	0.25	0.25
0.17	0.19	0.19
3.84	0.16	0.16
1.41	0.17	0.17
3.17	0.17	0.17
2.22	0.15	0.15
0.49	0.21	0.21
1.16	0.2	0.2
1.59	0.17	0.17
2.28	0.27	0.27
1.27	0.31	0.31
1.28	0.22	0.22
0.62	0.22	0.22
0.71	0.21	0.21
0.82	0.21	0.21
1.84	0.24	0.24
3.42	0.25	0.25
1.52	0.16	0.16
0.36	0.18	0.18
0.31	0.17	0.17
2.23	0.11	0.11
0.55	0.2	0.2
2.15	0.13	0.13
1.83	0.19	0.19
1.16	0.18	0.18
0.9	0.16	0.16
0.69	0.1	0.1
1.21	0.13	0.13
1.11	0.09	0.09
0.93	0.08	0.08
4.7	0.13	0.13
0.73	0.07	0.07
0.84	0.14	0.14
1.8	0.16	0.16
0.75	0.08	0.08
3.36	0.11	0.11
1.13	0.09	0.09
3.72	0.15	0.15
2.55	0.07	0.07
1.22	0.13	0.13
2.37	0.1	0.1
4.45	0.13	0.13
0.84	0.11	0.11
1.01	0.08	0.08
1.43	0.19	0.19
2.18	0.09	0.09
4.4	0.12	0.12
3.8	0.17	0.17
3.54	0.08	0.08
1.37	0.07	0.07
3.23	0.14	0.14
0.51	0.13	0.13
1.54	0.09	0.09
1.45	0.11	0.11
1.61	0.1	0.1
2.17	0.16	0.16
2.02	0.1	0.1
2.84	0.16	0.16
1.29	0.12	0.12
6.27	0.14	0.14
0.76	0.07	0.07
1.1	0.09	0.09
1.09	0.08	0.08
1.01	0.11	0.11
0.65	0.08	0.08
1.55	0.1	0.1
2.38	0.08	0.08
2.53	0.14	0.14
4.41	0.16	0.16
4.13	0.14	0.14
0.99	0.14	0.14
0.59	0.15	0.15
1.29	0.09	0.09
1.44	0.1	0.1
1.07	0.14	0.14
2.25	0.1	0.1
3.2	0.09	0.09
1.21	0.12	0.12
2.46	0.06	0.06
3.19	0.14	0.14
4.33	0.14	0.14
2.26	0.09	0.09
2.97	0.16	0.16
1.41	0.2	0.2
0.95	0.12	0.12
2.51	0.14	0.14
0.68	0.1	0.1
1.93	0.15	0.15
1.57	0.08	0.08
1.2	0.14	0.14
0.67	0.11	0.11
0.98	0.07	0.07
2.23	0.18	0.18
1.4	0.05	0.05
2.55	0.1	0.1
1.64	0.1	0.1
2.3	0.11	0.11
3.56	0.15	0.15
2.65	0.1	0.1
2.88	0.12	0.12
3.68	0.1	0.1
0.88	0.08	0.08
3.58	0.31	0.31
1.53	0.08	0.08
3.52	0.13	0.13
2.41	0.1	0.1
1.69	0.1	0.1
1.48	0.06	0.06
4.45	0.12	0.12
0.85	0.07	0.07
1.83	0.07	0.07
1.04	0.14	0.14
1.72	0.07	0.07
4.74	0.1	0.1
3.16	0.09	0.09
0.83	0.07	0.07
1.28	0.06	0.06
1	0.08	0.08
2.47	0.29	0.29
0.71	0.12	0.12
1.17	0.06	0.06
2.06	0.08	0.08
0.98	0.12	0.12
4.88	0.14	0.14
6.42	0.17	0.17
1.47	0.15	0.15
0.84	0.13	0.13
1.11	0.11	0.11
1.4	0.12	0.12
1.48	0.15	0.15
2.73	0.11	0.11
1.42	0.13	0.13
0.97	0.13	0.13
1.05	0.09	0.09
1.05	0.08	0.08
3.56	0.13	0.13
1.72	0.12	0.12
3.15	0.11	0.11
3.05	0.09	0.09
0.91	0.12	0.12
1.29	0.09	0.09
